# Example gamma spectrum data
# Format: channel, counts
# This simulates a Na-22 spectrum with 511 keV and 1274 keV peaks
0,45
1,48
2,52
3,47
4,51
5,49
6,46
7,50
8,48
9,45
10,47
50,89
100,125
150,98
200,87
250,76
300,68
350,62
400,58
450,55
500,52
505,54
510,245
511,1850
512,1200
513,450
514,125
515,68
516,55
517,52
518,50
519,48
520,47
550,45
600,42
650,39
660,38
661,850
662,620
663,210
664,85
665,45
700,38
750,35
800,33
850,31
900,29
950,28
1000,27
1050,26
1100,25
1150,24
1200,23
1250,22
1270,21
1271,22
1272,28
1273,85
1274,1250
1275,980
1276,520
1277,145
1278,52
1279,28
1280,23
1300,22
1350,21
1400,20
1450,19
1500,18
1550,17
1600,16
1650,15
1700,14
1750,13
1800,12
1850,11
1900,10
1950,9
2000,8
2047,7
